日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日初SOC,日终SOC,实际再调度电量
2025-04-08,40967.56328193704,0.0,0.0,8927.49553850287,40967.56328193704,1503.9317380122225,2252.243950451114,6189.755495346082
2025-04-09,44119.010060063134,0.0,0.0,8094.40618706378,44119.010060063134,2252.243950451114,2980.279780235183,10967.403228563777
2025-04-10,47277.4679321295,0.0,0.0,17298.52326065225,47277.4679321295,2980.279780235183,3710.654269544445,16594.565915318915
2025-04-11,47650.73125607046,0.0,0.0,61473.63375456965,47650.73125607046,3710.654269544445,10337.533996124075,34943.876387331584
2025-04-12,30774.330317426706,0.0,0.0,40731.96706269424,30774.330317426706,10337.533996124075,8136.857138494444,26561.282420472417
2025-04-13,25033.051851858832,54712.11055828963,8940.662939589663,0.0,79745.16241014846,8136.857138494444,1237.242522,13423.248951683661
2025-04-14,35971.086059025765,399.75741163734307,57.30467483333473,4118.913495734566,36370.84347066311,1237.242522,1386.6834385185189,4451.809076234567
2025-04-15,40237.468922536194,0.0,0.0,12327.455670206591,40237.468922536194,1386.6834385185189,2450.2694905877784,14824.769890665033
2025-04-16,42267.68052781451,0.0,0.0,9323.937130272025,42267.68052781451,2450.2694905877784,2960.405200349631,9924.568771945273
2025-04-17,45247.11877092432,0.0,0.0,16226.837642220577,45247.11877092432,2960.405200349631,3733.835691346666,17846.704634953905
2025-04-18,45778.126659125206,0.0,0.0,57809.1119872133,45778.126659125206,3733.835691346666,10684.013194536295,33736.125916682984
2025-04-19,29898.462636076423,0.0,0.0,42030.65974234979,29898.462636076423,10684.013194536295,8005.89192406111,23763.994045738273
2025-04-20,24184.818896754325,48153.76172281462,8072.254429681993,0.0,72338.58061956894,8005.89192406111,1200.0,11999.615065181992
2025-04-21,34773.25657757725,684.5777284328965,184.9935399783342,6901.469488352683,35457.83430601015,1200.0,1280.7449213714815,5803.977947774349
2025-04-22,38605.212925098946,0.0,0.0,7734.019132416468,38605.212925098946,1280.7449213714815,2355.3976338696334,10541.598287064206
2025-04-23,41580.459504599414,0.0,0.0,12976.906862537864,41580.459504599414,2355.3976338696334,3208.2055532348163,15902.362129670782
2025-04-24,43336.81986635999,0.0,0.0,20014.46247779219,43336.81986635999,3208.2055532348163,3683.497229005558,18654.848847792186
2025-04-25,42937.78337031724,0.0,0.0,58914.40801720988,42937.78337031724,3683.497229005558,10247.880088639262,32092.602061869544
2025-04-26,27703.821277045696,0.0,0.0,44960.14365869712,27703.821277045696,10247.880088639262,7929.571653919258,24176.536117627988
2025-04-27,22806.08535842335,45304.86885336767,8080.8680077416675,348.8980333333325,68110.95421179102,7929.571653919258,1200.0,14098.918886091671
