日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日终计划SOC,日终实际SOC,实际再调度电量
2025-02-25,52650.37080085231,0.0,0.0,6620.734353899999,52650.37080085231,1200.0,2455.2724752166705,7099.588983566666
2025-02-26,54245.35703018034,0.0,0.0,5429.951316933333,54245.35703018034,1200.0,3101.8041825203713,7790.758993200003
2025-02-27,56292.608292485456,0.0,0.0,9122.580190660083,56292.608292485456,1200.0,3768.0256079611154,8949.407702406586
2025-02-28,56683.83046497689,0.0,0.0,40629.47295543621,56683.83046497689,1200.0,10244.020093922223,21579.30782473045
2025-03-01,40238.40130513513,0.0,0.0,27937.723020386424,40238.40130513513,1200.0,8014.907033888149,17245.29994258024
2025-03-02,33616.115716966706,15488.667189858534,2980.716450796992,0.0,49104.78290682524,1200.0,1200.0,10804.929600903006
2025-03-03,47136.799786461066,1247.147774570606,276.0003246176655,702.1161865666655,48383.94756103167,1200.0,1313.0647010211114,3614.804868182332
2025-03-04,53289.920641141754,0.0,0.0,4859.630281399999,53289.920641141754,1200.0,2427.8433486770336,6141.601423800001
2025-03-05,55698.06560627441,0.0,0.0,8022.202097999998,55698.06560627441,1200.0,3060.690549512966,9750.273419000001
2025-03-06,56629.17934414118,0.0,0.0,8159.8899368,56629.17934414118,1200.0,3706.9407796648184,11183.347880533334
2025-03-07,56442.3368010145,0.0,0.0,42355.807056720165,56442.3368010145,1200.0,10457.334470205558,22112.9565718465
2025-03-08,39509.85689425109,0.0,0.0,31328.777817347735,39509.85689425109,1200.0,8204.284936614815,17502.431012152265
2025-03-09,31750.249666015814,12119.830013315424,2425.477527109335,409.72077270000045,43870.07967933124,1200.0,1200.0,6202.268432590664
2025-03-10,43314.93678658591,837.8955408269537,185.75602907833266,60.60797216666674,44152.83232741286,1200.0,1264.3560737999999,5034.380998754997
2025-03-11,49481.607395455925,0.0,0.0,4444.457478966666,49481.607395455925,1200.0,2779.75569639704,6975.092311100004
2025-03-12,51632.52853502688,0.0,0.0,7568.033379333334,51632.52853502688,1200.0,2852.9937360977797,8908.471372099999
2025-03-13,53203.47987087452,0.0,0.0,4971.332503233333,53203.47987087452,1200.0,3432.280385802224,8519.533072633334
2025-03-14,54963.142296916965,0.0,0.0,45714.94362457654,54963.142296916965,1200.0,10669.982687312217,21765.75916595679
2025-03-15,37164.04380129553,0.0,0.0,27375.9244676288,37164.04380129553,1200.0,7752.144202333332,16732.442084537863
2025-03-16,31339.799148657585,10920.567489479561,2216.6125722091497,576.8540990481448,42260.366638137144,1200.0,1200.0,7509.78334650937
2025-03-17,42879.57707276092,259.9288860532464,49.76141508466556,4437.7535617522635,43139.50595881417,1200.0,1590.1809758144452,5157.484157563072
2025-03-18,46208.647701853435,0.0,0.0,5656.020919466667,46208.647701853435,1200.0,2629.7166441844456,4768.356353933337
2025-03-19,49045.631276709886,0.0,0.0,8105.809015333331,49045.631276709886,1200.0,3185.9382584570394,7652.5070613000025
2025-03-20,50639.193318913436,0.0,0.0,6030.518548499999,50639.193318913436,1200.0,3482.7082725222194,9204.882569666664
2025-03-21,51881.22547149966,0.0,0.0,46335.63513033374,51881.22547149966,1200.0,10120.797309960373,20859.35163003293
2025-03-22,34716.15785640477,0.0,0.0,27710.602365969135,34716.15785640477,1200.0,8134.526983831852,17366.88056559753
2025-03-23,28581.361914491812,10368.376538480414,2133.492234633333,0.0,38949.738452972226,1200.0,1210.460376,7312.298596066664
2025-03-24,39780.042760587356,172.82648370349807,28.662911133332955,2365.7738432666674,39952.86924429085,1200.0,1250.714723736667,3439.819898366669
2025-03-25,44473.144880924774,0.0,0.0,3865.2037284999988,44473.144880924774,1200.0,2254.393232742592,4440.697354999999
2025-03-26,47990.20415483391,0.0,0.0,8675.606896000003,47990.20415483391,1200.0,3059.9603922837023,9402.1921414
2025-03-27,48769.802641098664,0.0,0.0,7522.2964911,48769.802641098664,1200.0,3534.4371684644448,8802.491329066665
2025-03-28,49746.49590158285,0.0,0.0,44392.28624292836,49746.49590158285,1200.0,10462.290048978151,21263.599123471635
2025-03-29,33165.87796725151,0.0,0.0,34540.40395201399,33165.87796725151,1200.0,8039.349414077036,16583.25713505267
2025-03-30,26257.69738378899,11148.069648663566,2252.6435643333307,15.048917833332666,37405.76703245255,1200.0,1200.0,6937.422662333337
2025-03-31,37125.65811285459,331.19872710153396,67.99692473333346,153.1566482666667,37456.85683995612,1200.0,1509.7673488644443,5980.938998633337
2025-04-01,42215.34202337105,0.0,0.0,2224.5266639786037,42215.34202337105,1200.0,2339.6646247618514,6201.727397154733
2025-04-02,46093.2088509262,0.0,0.0,6937.880082599999,46093.2088509262,1200.0,3012.1575228077777,4757.812476966668
2025-04-03,49076.69359161649,0.0,0.0,10033.307167266665,49076.69359161649,1200.0,3516.13747856074,10056.635487199997
2025-04-04,49143.17378190503,0.0,0.0,48323.332302414026,49143.17378190503,1200.0,10456.660160318517,21266.924739919297
2025-04-05,31662.31710785044,0.0,0.0,28501.179839086406,31662.31710785044,1200.0,7899.927404850371,16298.496194513586
2025-04-06,26408.198063500946,9598.85651443799,1886.7352806666645,29.893341766666254,36007.054577938936,1200.0,1219.169274,6171.257778999998
2025-04-07,36950.991899315966,0.0,0.0,1480.1432232543234,36950.991899315966,1200.0,1503.9317380122204,5253.948539979011
2025-04-08,40967.56328193704,0.0,0.0,6269.706933995059,40967.56328193704,1200.0,2252.2439504511135,3531.966890838271
2025-04-09,44119.01006006314,0.0,0.0,3548.684999166664,44119.01006006314,1200.0,2980.2797802351856,6421.682040666668
2025-04-10,47277.4679321295,0.0,0.0,9828.817024466667,47277.4679321295,1200.0,3710.6542695444446,9124.859679133331
2025-04-11,47650.73125607046,0.0,0.0,47598.5110337857,47650.73125607046,1200.0,10337.533996124075,21068.753666547636
2025-04-12,30774.33031742671,0.0,0.0,30207.402077194245,30774.33031742671,1200.0,8136.857138494444,16036.717434972423
2025-04-13,25033.051851858836,13730.255788942,2667.027865602998,0.0,38763.307640800835,1200.0,1237.242522,7149.613877696997
2025-04-14,35971.08605902576,48.22139072000148,6.912470000000212,2897.2654848333323,36019.30744974576,1200.0,1386.6834385185189,3179.768860500001
2025-04-15,40237.468922536194,0.0,0.0,5227.380381070781,40237.468922536194,1200.0,2450.26949058778,7724.6946015292215
2025-04-16,42267.68052781451,0.0,0.0,5065.234819763378,42267.68052781451,1200.0,2960.405200349631,5665.866461436626
2025-04-17,45247.11877092432,0.0,0.0,8155.308026066668,45247.11877092432,1200.0,3733.8356913466664,9775.1750188
2025-04-18,45778.12665912521,0.0,0.0,44763.13730073182,45778.12665912521,1200.0,10684.013194536294,20690.151230201503
2025-04-19,29898.462636076427,0.0,0.0,32955.25279080575,29898.462636076427,1200.0,8005.891924061111,14688.587094194245
2025-04-20,24184.81889675432,13362.274795830519,2701.7931531000004,0.0,37547.09369258484,1200.0,1200.0,6629.153788600001
2025-04-21,34773.25657757725,684.5777284328983,184.99353997833487,4512.557495633335,35457.834306010154,1200.0,1280.7449213714815,3415.065955055003
2025-04-22,38605.212925098946,0.0,0.0,3129.946145742799,38605.212925098946,1200.0,2355.397633869632,5937.525300390538
2025-04-23,41580.45950459942,0.0,0.0,5651.717506916873,41580.45950459942,1200.0,3208.205553234816,8577.172774049794
2025-04-24,43336.81986635999,0.0,0.0,11504.382873166669,43336.81986635999,1200.0,3683.497229005558,10144.769243166666
2025-04-25,42937.78337031724,0.0,0.0,46539.43420355351,42937.78337031724,1200.0,10247.88008863926,19717.628248213165
2025-04-26,27703.821277045696,0.0,0.0,35630.25831990124,27703.821277045696,1200.0,7929.571653919258,14846.650778832103
2025-04-27,22806.08535842335,15206.608935375276,3138.1026853749972,0.0,38012.694293798624,1200.0,1200.0,8807.255530391667
2025-04-28,32571.950635963705,616.7971760236524,130.04083759333332,84.20485126666699,33188.747811987356,1200.0,1415.522684467037,8197.646022206667
2025-04-29,38894.487882734466,0.0,0.0,5714.324170253087,38894.487882734466,1200.0,2540.724766059263,8198.332668746913
2025-04-30,40630.86017971835,0.0,0.0,8318.7524813,40630.86017971835,1200.0,2852.1433606192595,7737.033418433335
2025-05-01,42052.130688923695,100.52555520000023,14.410200000000032,9446.340067366667,42152.6562441237,1200.0,1555.754894346298,7081.345050566669
2025-05-02,44798.17966313109,0.0,0.0,35253.76347475967,44798.17966313109,1200.0,9439.678940238153,19301.934556373664
2025-05-03,31907.617440278773,0.0,0.0,32900.18684722284,31907.617440278773,1200.0,7267.220921314444,14199.320615343824
2025-05-04,26520.781647622247,8421.356230163767,1832.2023531483344,0.0,34942.137877786015,1200.0,1225.1230500000001,6490.916735685001
2025-05-05,36418.59297178825,0.0,0.0,1091.3294781333345,36418.59297178825,1200.0,1352.0533405770375,5969.841965033333
2025-05-06,41440.24910761298,0.0,0.0,8091.396715829218,41440.24910761298,1200.0,2162.538330596296,3963.1529662041207
2025-05-07,44157.76809891539,0.0,0.0,6252.125456466667,44157.76809891539,1200.0,2899.865539667039,6900.183453166669
2025-05-08,46709.528374839385,0.0,0.0,6739.118884599999,46709.528374839385,1200.0,3513.21267238815,9429.253674300002
2025-05-09,47803.07123996829,0.0,0.0,44582.57646164938,47803.07123996829,1200.0,10800.0,20945.699697850614
2025-05-10,31974.772797419177,0.0,0.0,30629.70045261975,31974.772797419177,1200.0,7599.510303698887,13997.815565880252
2025-05-11,27220.243647532832,7162.186889133912,1456.658568080334,7.625761533333389,34382.43053666675,1200.0,1200.0,7323.905278019662
2025-05-12,37864.16145284801,153.28667298489083,32.8518373306667,2256.3290098333337,38017.4481258329,1200.0,1639.6586856755557,7977.302288402667
2025-05-13,41387.42163488178,0.0,0.0,6642.864426533334,41387.42163488178,1200.0,2442.9767427977777,4744.574448033334
2025-05-14,43920.485479133975,0.0,0.0,8042.328074166665,43920.485479133975,1200.0,3009.824715364816,7583.505884666667
2025-05-15,45714.697354053154,0.0,0.0,8817.042476372842,45714.697354053154,1200.0,3881.8015497737047,9786.248404727161
2025-05-16,46161.79509322662,0.0,0.0,49996.16527839465,46161.79509322662,1200.0,10150.823550217774,19564.857242238682
2025-05-17,30133.718390587157,0.0,0.0,29205.376362241557,30133.718390587157,1200.0,7573.497711648888,13843.811690658444
2025-05-18,25670.94686796725,14443.237314030532,2894.800900759,0.0,40114.184181997785,1200.0,1204.074783,6707.671000007668
2025-05-19,36054.872172732285,699.3763990053333,102.96215949999998,5925.288273726336,36754.24857173762,1200.0,1528.501903868518,4228.803082940329
2025-05-20,39299.714475258465,0.0,0.0,2020.0395502477386,39299.714475258465,1200.0,2192.643295160745,6225.613144985597
2025-05-21,43051.21889945064,0.0,0.0,8515.132455500001,43051.21889945064,1200.0,3029.864363007778,7392.776843966671
2025-05-22,44786.429905418525,0.0,0.0,8862.383474466667,44786.429905418525,1200.0,4165.5632563944455,10278.766427333334
2025-05-23,44874.08263627474,0.0,0.0,44444.82903930279,44874.08263627474,1200.0,10498.996536701485,19826.71064316387
2025-05-24,30418.762952234763,0.0,0.0,37352.10115824033,30418.762952234763,1200.0,7534.993510362961,13005.323121426334
2025-05-25,24590.647890655586,8239.570084562376,1753.1094523036652,0.0,32830.217975217965,1200.0,1253.4838445925927,6329.0948916296675
2025-05-26,34413.8431990379,7.554314319999594,1.1275095999999394,214.0717659333343,34421.3975133579,1200.0,1464.2683174022225,5871.358121833334
2025-05-27,39872.99786554118,0.0,0.0,7285.578306433334,39872.99786554118,1200.0,2116.8805608437033,5652.9498619333335
2025-05-28,42084.64284238397,0.0,0.0,7490.101680099999,42084.64284238397,1200.0,3137.7725343085185,6197.997101333336
2025-05-29,44208.88095860035,0.0,0.0,7447.769145000002,44208.88095860035,1200.0,3803.6060850055574,7801.556378000001
2025-05-30,45879.94691216029,0.0,0.0,45584.592617932925,45879.94691216029,1200.0,10477.890792164075,19699.073489500413
2025-05-31,30797.85057300926,0.0,0.0,32497.03237812716,30797.85057300926,1200.0,7614.997371889628,14221.197199739505
