日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-05-09,16385.875926244982,0.0,6.961329290788854e-13,16385.875926244982,1.4210854715202004e-13,17689.37499224785,3237.6988361891927,3854.7629969420973,weekly
2025-05-10,16188.261111273952,0.0,5.099245470319147e-13,16188.261111273952,9.237055564881302e-14,14460.946331862533,3854.7629969420973,3430.142901258023,weekly
2025-05-11,41104.9137447136,0.0,185.80697583333296,41290.72072054693,27.56166666666661,7026.212016067951,3430.142901258023,3599.2657820177924,weekly
2025-05-12,39974.2151919718,0.0,5.547917680814862e-13,39974.2151919718,1.1368683772161603e-13,9866.803121762125,3599.2657820177924,3473.723399665349,weekly
2025-05-13,39298.35775792818,0.0,8.460844492856974e-13,39298.35775792818,3.4390268478551485e-13,6997.014623283578,3473.723399665349,3468.4604183486867,weekly
2025-05-14,39399.84463569211,0.0,1.0295906349711003e-12,39399.84463569211,3.126388037344441e-13,7257.247799059793,3468.4604183486867,3351.5045459412804,weekly
2025-05-15,38675.38829822298,0.0,1.0652172477421118e-12,38675.38829822298,3.694822225952521e-13,5658.053557275588,3351.5045459412804,3692.39742638186,weekly
2025-05-16,15698.552321824522,0.0,3.5376501728023866e-13,15698.552321824522,5.684341886080802e-14,23590.028038699445,3692.39742638186,2975.433766327814,weekly
2025-05-17,15924.750645294367,0.0,5.610161224467447e-13,15924.750645294367,1.7053025658242404e-13,15596.593930827094,2975.433766327814,3115.6989453381007,weekly
2025-05-18,38457.99946341653,0.0,2.6500401872908696e-13,38457.99946341653,1.1368683772161603e-13,6775.902825045607,3115.6989453381007,2148.584150507847,weekly
2025-05-19,38169.85419574044,0.0,451.9039816666668,38621.75817740711,67.00333333333342,12975.828164092374,2148.584150507847,1565.8358228458858,weekly
2025-05-20,37804.92959962792,0.0,1.930104076564021e-12,37804.92959962792,5.258016244624741e-13,4511.283308301308,1565.8358228458858,1506.4443027181583,weekly
2025-05-21,38773.59528945405,0.0,9.52006473653455e-13,38773.59528945405,2.1316282072803006e-13,9428.615880402258,1506.4443027181583,1750.4256547551981,weekly
2025-05-22,37807.15824896287,0.0,17.333365000000175,37824.49161396287,2.57000000000011,8101.695540619925,1750.4256547551981,2024.016715612603,weekly
2025-05-23,15305.20602292116,0.0,0.0,15305.20602292116,0.0,19120.548196811033,2024.016715612603,2657.3544325744842,weekly
2025-05-24,15030.270470563037,0.0,0.0,15030.270470563037,0.0,21986.12522081661,2657.3544325744842,2471.409918922271,weekly
2025-05-25,36749.84906488683,0.0,87.43890456809504,36837.28796945493,18.739585205335516,9771.288717904674,2471.409918922271,1803.153769333333,weekly
2025-05-26,35898.87826621988,0.0,7.206892860267544e-13,35898.87826621988,3.126388037344441e-13,1077.4915676549108,1803.153769333333,1750.170684489442,weekly
2025-05-27,37287.687301625796,0.0,7.628102594026131e-13,37287.687301625796,1.7053025658242404e-13,9537.809558494093,1750.170684489442,1867.626291290013,weekly
2025-05-28,37946.248270244934,0.0,5.378524292609654e-13,37946.248270244934,1.1368683772161603e-13,4221.102535904223,1867.626291290013,3453.8788525486048,weekly
