question,label,total_cost_cny,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,emergency_energy_kwh,unused_supply_energy_kwh,net_mae_kw,peak_net_mae_kw,february_initial_energy_kwh,terminal_energy_kwh,runtime_seconds
3,hours_0_fixed,14466806.963451222,12897093.786910411,0.0,1569713.1765408115,268406.22330623865,2169699.5796896517,312.91595173061876,297.50693231844383,2327.776640152232,1347.4967297037037,4.965768599999137
3,hours_0_6_continuous,14035965.4294967,12805458.950108761,369316.7421517722,861189.7372361675,149362.0969195491,1872038.6313484332,242.56922027681992,228.59560193389004,2694.7008908410658,1347.4967297037037,11.262456099997507
3,hours_0_6_fixed,14036141.041511888,12805634.562123949,369316.7421517722,861189.7372361675,149362.0969195491,1872038.6313484332,242.56922027681992,228.59560193389004,2327.776640152232,1347.4967297037037,11.191764699993655
3,hours_0_12_continuous,13828953.782738421,12701240.70662688,288816.5341881816,838896.5419233588,158337.6632193489,1689938.650242502,248.91625906070684,254.58636404703833,2404.935087673463,1347.496729703704,10.838010800012853
3,hours_0_12_fixed,13828990.741634782,12701277.665523242,288816.5341881816,838896.5419233588,158337.6632193489,1689938.650242502,248.91625906070684,254.58636404703833,2327.776640152232,1347.496729703704,10.265989400009857
3,hours_0_18_continuous,13768954.000284223,13106063.431085896,176808.25885322908,486082.31034509867,98981.12600355438,2162179.4169256706,307.3108175975477,285.3208970756961,2327.776640152232,1371.7737564320612,10.00001550000161
3,hours_0_18_fixed,13768954.000284223,13106063.431085896,176808.25885322908,486082.31034509867,98981.12600355438,2162179.4169256706,307.3108175975477,285.3208970756961,2327.776640152232,1371.7737564320612,9.964662700003828
3,hours_0_6_12_continuous,13658030.428416578,12662857.461817162,402835.81777610816,592337.1488233088,108612.37396480472,1571742.241814492,213.15865464922183,207.80133451194175,2404.9350876733884,1347.496729703704,16.617819200007943
3,hours_0_6_12_fixed,13658067.387312941,12662894.420713523,402835.81777610816,592337.1488233088,108612.37396480472,1571742.241814492,213.15865464922183,207.80133451194175,2327.776640152232,1347.496729703704,16.186065100002452
3,hours_0_6_18_continuous,13640980.083261685,12917983.484908381,494378.88207496976,228617.7162783336,47675.97896248595,1863834.8979388159,237.45834540710615,217.47033277346964,2327.776640152232,1371.7737564320612,15.299508199997945
3,hours_0_6_18_fixed,13640980.083261685,12917983.484908381,494378.88207496976,228617.7162783336,47675.97896248595,1863834.8979388159,237.45834540710615,217.47033277346964,2327.776640152232,1371.7737564320612,15.588345099997241
3,hours_0_12_18_continuous,13617074.089670902,12755534.324216245,374408.6247117789,487131.14074287866,98707.49772614392,1682594.5499247808,244.4667429083827,244.97648652122825,2327.776640152232,1383.4406664457363,15.086999799998011
3,hours_0_12_18_fixed,13617074.089670902,12755534.324216245,374408.6247117789,487131.14074287866,98707.49772614392,1682594.5499247808,244.4667429083827,244.97648652122825,2327.776640152232,1383.4406664457363,15.05396349998773
3,hours_0_6_12_18_continuous,13438763.546948055,12719255.841643091,489124.0527943116,230383.6525106534,47461.5771111557,1564313.6106865807,208.7091384968977,198.19145698613167,2327.776640152232,1383.4406664457363,20.54735810001148
3,hours_0_6_12_18_fixed,13438763.546948055,12719255.841643091,489124.0527943116,230383.6525106534,47461.5771111557,1564313.6106865807,208.7091384968977,198.19145698613167,2327.776640152232,1383.4406664457363,20.598362399992766
